route_short_name,route_color,route_text_color,Linie_NR_DIVA
833,FFCC00,000000,833
834,FFCC00,000000,834
835,FFCC00,000000,835
837,FFCC00,000000,837
184,FFFFFF,000000,184
185,FFFFFF,000000,185
307,CA7D3C,FFFFFF,307
743,E20A16,FFFFFF,743
744,FFFFFF,000000,744
751,11296F,FFFFFF,751
301,8AB51F,000000,301
302,00892F,FFFFFF,302
303,11296F,FFFFFF,303
304,E20A16,FFFFFF,304
305,734522,FFFFFF,305
306,FFCC00,000000,306
308,E12472,FFFFFF,308
309,008DC5,FFFFFF,309
311,FF5D55,000000,311
314,FFFFFF,000000,314
325,FFFFFF,000000,325
701,008DC5,FFFFFF,701
703,FFCC00,000000,703
704,8E224D,FFFFFF,704
705,00892F,FFFFFF,705
